,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
87,ExtraTreeClassifier_akaze_256,82.87,81.83,78.58,90.0,79.2,78.58,80.12,81.25,77.4,78.87,75.42,76.76,86.83,87.99,75.67,77.04,75.42,76.76
88,ExtraTreeClassifier_akaze_64,84.01,84.91,78.2,90.0,79.0,78.2,80.4,81.22,80.68,81.87,72.76,73.97,91.27,92.23,73.35,74.62,72.76,73.97
89,LogisticRegression_sift_128,80.24,78.62,81.67,99.17,75.83,81.67,76.72,77.57,78.28,78.96,81.4,81.93,69.16,70.84,75.39,76.27,81.4,81.93
90,LogisticRegression_sift_256,84.84,88.42,82.92,100.0,79.46,82.92,79.31,80.69,80.94,82.18,82.37,83.46,73.12,75.21,78.78,80.15,82.37,83.46
91,LogisticRegression_sift_64,84.84,88.42,82.92,100.0,79.46,82.92,79.31,80.69,80.94,82.18,82.37,83.46,73.12,75.21,78.78,80.15,82.37,83.46
92,LogisticRegression_surf_128,78.57,77.74,0.0,100.0,75.82,0.0,76.91,78.17,77.06,78.41,79.36,80.64,70.8,72.54,75.08,76.57,79.36,80.64
93,LogisticRegression_surf_256,80.4,82.17,81.67,99.17,75.04,81.67,75.7,76.68,77.27,77.91,81.25,82.09,65.94,67.4,74.54,75.53,81.25,82.09
94,LogisticRegression_surf_64,85.4,87.55,87.08,99.17,82.48,87.08,82.76,84.22,83.59,84.74,86.64,87.52,78.15,80.18,81.71,83.26,86.64,87.52
95,LogisticRegression_surf100_128,85.9,84.48,86.21,100.0,84.3,86.21,85.37,86.43,83.97,84.98,85.68,86.74,85.06,86.45,83.78,84.82,85.68,86.74
96,LogisticRegression_surf100_256,84.02,83.68,80.76,100.0,80.01,80.76,83.73,84.3,83.24,84.11,79.88,80.87,88.52,89.66,79.56,80.46,79.88,80.87
97,LogisticRegression_surf100_64,82.82,80.88,85.26,100.0,80.22,85.26,80.9,81.83,80.44,81.32,84.91,85.62,74.92,76.14,79.7,80.73,84.91,85.62
98,LogisticRegression_surf50_128,78.46,77.35,81.14,100.0,76.6,81.14,75.47,76.58,76.86,77.85,80.61,81.66,66.53,68.01,74.43,75.56,80.61,81.66
99,LogisticRegression_surf50_256,81.24,78.74,81.89,100.0,79.14,81.89,80.35,82.13,77.76,79.71,80.59,82.6,80.76,82.27,78.16,80.12,80.59,82.6
100,LogisticRegression_surf50_512,81.67,81.29,81.2,100.0,80.02,81.2,79.77,81.02,78.33,79.61,79.71,81.07,80.11,81.68,77.58,78.88,79.71,81.07
101,LogisticRegression_surf50_64,79.79,79.1,82.46,100.0,78.39,82.46,76.84,78.29,78.55,79.64,81.8,83.12,67.32,69.2,76.13,77.5,81.8,83.12
102,LogisticRegression_surf0_1024,85.9,84.99,87.04,100.0,84.39,87.04,83.65,84.54,82.8,83.59,85.37,86.27,80.62,82.07,82.06,82.96,85.37,86.27
103,LogisticRegression_surf0_128,79.57,78.42,82.84,100.0,78.26,82.84,79.13,80.01,77.99,78.86,82.35,83.33,73.54,74.49,77.82,78.71,82.35,83.33
